I	19971	27132
I	138960	140169
I	188881	188939
I	205811	206375
I	230136	230183
II	6440	6440
II	7510	7511
II	30754	31525
II	59755	59755
II	88485	88489
II	746363	746369
II	813161	813161
II	221289	221290
II	263145	278954
III	22	342
IX	25418	25586
VIII	562386	562620
VIII	85509	85510
XII	1025001	1025001
XII	1012324	1012329
XIII	908177	924423
IV	880697	880697
IX	666655	666814
XIII	924276	924417
XIV	6618	6671
VI	270146	270155
XIV	784073	784320
XII	611525	611580
IX	439331	439884
XIII	202192	202197
IV	415071	415096
